task_id,deadline_days,effort,impact,workload,priority_score,priority_label
1,29,17,5,6,0.134482759,Low
2,17,1,9,6,6.064705882,High
3,21,4,8,6,4.628571429,Medium
4,28,9,2,4,0.271428571,Low
5,6,8,5,6,5.9,High
6,9,2,7,2,6.433333333,High
7,20,7,4,1,2.1,Medium
8,7,6,9,4,7.585714286,High
9,21,6,6,3,3.228571429,Medium
10,18,2,3,4,2.766666667,Medium
11,12,3,2,4,2.9,Medium
12,11,7,7,7,4.827272727,Medium
13,25,2,9,5,5.3,High
14,12,7,9,9,5.6,High
15,19,3,6,3,3.978947368,Medium
16,14,7,6,7,3.742857143,Medium
17,3,2,3,2,11.1,High
18,19,9,9,5,4.278947368,Medium
19,5,10,5,2,6.5,High
20,28,19,3,2,-1.228571429,Low
21,28,7,5,2,2.171428571,Medium
22,7,15,6,3,4.285714286,Medium
23,10,9,2,7,2.2,Medium
24,4,11,3,6,6.8,High
25,6,5,1,7,4.5,Medium
26,26,6,8,4,3.953846154,Medium
27,8,15,8,6,4.75,Medium
28,6,6,6,9,6.8,High
29,28,9,7,9,2.771428571,Medium
30,2,16,2,4,12.8,High
31,15,10,1,3,0.5,Low
32,22,19,6,1,0.563636364,Low
33,8,9,9,8,6.45,High
34,25,6,7,2,3.5,Medium
35,10,2,4,4,4.6,Medium
36,19,3,6,9,3.978947368,Medium
37,23,5,8,7,4.304347826,Medium
38,20,11,1,9,-0.2,Low
39,14,17,4,8,0.742857143,Low
40,15,4,4,1,3.2,Medium
41,12,5,5,7,4,Medium
42,2,12,1,1,13.1,High
43,24,10,2,6,0.25,Low
44,6,9,2,7,4.2,Medium
45,25,8,2,1,0.6,Low
46,3,11,4,1,9.8,High
47,18,10,9,2,4.166666667,Medium
48,20,7,8,2,4.1,Medium
49,27,1,2,5,1.911111111,Low
50,22,7,1,7,0.463636364,Low
51,24,5,3,6,1.75,Low
52,14,19,3,2,-0.157142857,Low
53,29,12,8,2,2.634482759,Medium
54,4,5,1,6,7,High
55,29,4,3,7,1.734482759,Low
56,1,11,1,7,28.3,
57,27,10,6,1,2.111111111,Medium
58,22,8,4,2,1.763636364,Low
59,17,7,5,4,2.864705882,Medium
60,19,15,1,2,-0.921052632,Low
61,28,19,5,9,-0.228571429,Low
62,10,3,6,2,5.4,High
63,5,4,4,1,7.2,High
64,11,16,5,7,2.027272727,Medium
65,11,8,8,7,5.127272727,High
66,29,13,3,7,-0.065517241,Low
67,18,18,3,4,-0.433333333,Low
68,24,17,5,5,0.35,Low
69,5,8,5,1,6.9,High
70,3,13,6,4,10.4,High
71,18,8,6,5,3.066666667,Medium
72,28,9,4,3,1.271428571,Low
73,12,10,1,2,1,Low
74,20,18,1,2,-1.6,Low
75,10,17,9,8,4.1,Medium
76,16,10,4,1,1.875,Low
77,21,1,1,2,1.728571429,Low
78,25,14,3,2,-0.1,Low
79,27,12,7,2,2.211111111,Medium
80,9,3,9,2,7.233333333,High
81,17,15,8,5,2.764705882,Medium
82,24,6,5,6,2.55,Medium
83,27,11,3,6,0.411111111,Low
84,19,9,5,4,2.278947368,Medium
85,4,14,6,5,7.7,High
86,9,10,6,5,4.333333333,Medium
87,16,17,2,8,-0.525,Low
88,3,9,7,8,11.7,High
89,23,7,1,9,0.404347826,Low
90,26,18,7,8,1.053846154,Low
91,6,4,8,6,8.2,High
92,13,15,1,5,-0.192307692,Low
93,18,16,8,8,2.466666667,Medium
94,18,1,3,4,2.966666667,Medium
95,3,7,9,1,13.1,High
96,13,10,1,6,0.807692308,Low
97,4,10,1,7,6,High
98,18,14,1,6,-0.633333333,Low
99,1,3,8,8,33.4,
100,13,4,3,7,3.007692308,Medium
101,28,6,5,5,2.371428571,Medium
102,3,7,4,6,10.6,High
103,3,17,1,4,7.1,High
104,18,7,1,3,0.766666667,Low
105,10,11,4,1,2.8,Medium
106,19,11,7,9,2.878947368,Medium
107,11,17,7,1,2.827272727,Medium
108,2,19,1,5,11.7,High
109,29,19,2,3,-1.765517241,Low
110,24,4,1,5,0.95,Low
111,5,7,5,2,7.1,High
112,25,3,4,8,2.6,Medium
113,9,13,1,7,1.233333333,Low
114,6,19,3,3,2.7,Medium
115,24,1,4,8,3.05,Medium
116,7,18,9,6,5.185714286,High
117,8,19,7,3,3.45,Medium
118,27,17,8,1,1.711111111,Low
119,25,7,9,4,4.3,Medium
120,23,6,7,2,3.604347826,Medium
121,26,1,5,6,3.453846154,Medium
122,25,18,9,6,2.1,Medium
123,17,1,6,4,4.564705882,Medium
124,27,18,8,7,1.511111111,Low
125,22,18,2,9,-1.236363636,Low
126,13,15,4,1,1.307692308,Low
127,12,6,5,7,3.8,Medium
128,10,7,7,5,5.1,High
129,28,7,1,1,0.171428571,Low
130,7,18,8,8,4.685714286,Medium
131,3,5,3,8,10.5,High
132,8,5,9,7,7.25,High
133,4,19,8,6,7.7,High
134,12,8,1,5,1.4,Low
135,16,15,4,3,0.875,Low
136,6,11,8,4,6.8,High
137,27,17,1,6,-1.788888889,Low
138,12,9,7,8,4.2,Medium
139,8,9,7,9,5.45,High
140,7,14,1,7,1.985714286,Low
141,3,4,6,7,12.2,High
142,20,1,1,2,1.8,Low
143,7,12,9,5,6.385714286,High
144,24,16,1,5,-1.45,Low
145,7,15,1,5,1.785714286,Low
146,9,7,1,1,2.433333333,Medium
147,22,5,5,6,2.863636364,Medium
148,19,10,3,4,1.078947368,Low
149,23,13,2,6,-0.295652174,Low
150,16,12,3,9,0.975,Low
151,23,5,9,1,4.804347826,Medium
152,9,10,4,4,3.333333333,Medium
153,11,15,8,3,3.727272727,Medium
154,10,18,9,4,3.9,Medium
155,18,6,5,9,2.966666667,Medium
156,2,19,7,7,14.7,High
157,6,11,7,9,6.3,High
158,19,3,3,7,2.478947368,Medium
159,27,5,5,9,2.611111111,Medium
160,15,19,1,3,-1.3,Low
161,3,14,1,6,7.7,High
162,2,7,4,5,15.6,High
163,5,16,6,8,5.8,High
164,26,5,5,8,2.653846154,Medium
165,12,18,7,4,2.4,Medium
166,11,5,4,5,3.727272727,Medium
167,15,19,1,2,-1.3,Low
168,14,5,7,4,4.642857143,Medium
169,15,3,8,8,5.4,High
